Number	Name	Radical	OldNames	Year	Reason	Reading
1	丑	一		1951	Names	チュウ、うし
2	丞	一		1951	Names	ジョウ、ショウ、すく-う、たす-ける
3	乃	丿		1951	Names	ナイ、ダイ、ノ、アイ、の、すなわ-ち、なんじ
4	之	丿		1951	Names	シ、の、これ、おいて、ゆく、この
5	乎	丿		2004	Print	コ、オ、か、ああ、かな、や、よ、を
6	也	乙		1951	Names	ヤ、エ、なり、か、また
7	云	二		2004	Print	ウン、い-う、ここに
8	亘	二	亙	1951	Names	コウ、カン、わた-る、もと-める
9	些	二		2004	Print	サ、シャ、ち-と、ち-っと、いささか
10	亦	亠		1951	Names	エキ、ヤク、また
11	亥	亠		1951	Names	ガイ、カイ、い
12	亨	亠		1951	Names	コウ、キョウ、ホウ、たてまつ-る
13	亮	亠		1951	Names	リョウ、あきらか
14	仔	人		2004	Print	シ、こ、た-える
15	伊	人		1951	Names	イ、かれ
16	伍	人		1981	Names	ゴ、いつつ
17	伽	人		1990	Names	カ、ガ、キャ、ギャ、とぎ
18	佃	人		2004	Print	テン、デン、つくだ
19	佑	人		1976	Names	ユウ、ウ、たす-ける
20	伶	人		1981	Names	レイ、リョウ、わざおぎ
21	侃	人		1990	Names	カン、つよ-い
22	侑	人		1981	Names	ユウ、ウ、すす-める、たす-ける
23	俄	人		2004	Print	ガ、にわか
24	俠	人		2004	Print	キョウ、キャン、おとこだて
25	俣	人		2004	Print	また
26	俐	人		2004	Other	リ、かしこ-い
27	倭	人		1990	Names	ワ、イ、したが-う
28	俱	人		2004	Print	ク、ともに
29	倦	人		2004	Print	ケン、あき-る、あぐ-む、あぐ-ねる、う-む、つか-れる
30	倖	人		1990	Names	コウ、しあわ-せ、さいわ-い
31	偲	人		1990	Names	サイ、シ、しの-ぶ
32	傭	人		2004	Print	ヨウ、チョウ、やと-う、あた-い、ひと-しい
33	儲	人		2004	Print	チョ、もう-ける、もう-かる、もうけ、たくわ-える
34	允	儿		1976	Names	イン、じょう、まこと-に、ゆるす
35	兎	儿		2004	Print	ト、ツ、うさぎ
36	兜	儿		2004	Print	トウ、ト、かぶと
37	其	八		2004	Print	キ、ギ、ゴ、そ-れ、そ-の
38	冴	冫		1976	Names	ゴ、コ、さ-える、こ-おる、ひ-える
39	凌	冫		1990	Names	リョウ、しの-ぐ
40	凜	冫	凛	1990	Names	リン、きびし-い
41	凧	几		2004	Print	いかのぼり、たこ
42	凪	几		1990	Names	なぎ、な-ぐ
43	凰	几		2004	Print	オオ、コウ、オウ、おおとり
44	凱	几		1990	Names	ガイ、カイ、かちどき、やわらぐ
45	函	凵		2004	Print	カン、はこ、い-れる
46	劉	刀		2004	Print	リュウ、ル、ころ-す
47	劫	力		2004	Print	コウ、ゴウ、キョウ、おびや-かす
48	勁	力		1990	Names	ケイ、つよ-い
49	勺	勹		1949	Moved	シャク
50	勿	勹		2004	Print	モチ、ブツ、ボツ、なか-れ、なし
51	匁	勹		1948	Moved	もんめ、め
52	匡	匚		1951	Names	キョウ、オウ、すく-う
53	廿	廾		2004	Print	ジュウ、ニュウ、にじゅう
54	卜	卜		2004	Print	ボク、うらな-う、うらない
55	卯	卩		1951	Names	ボウ、モウ、う
56	卿	卩		2004	Print	ケイ、キョウ、きみ
57	厨	厂		2004	Print	シュウ、ズ、チュ、チュウ、くりや
58	厩	厂		2004	Print	キュウ、うまや
59	叉	又		2004	Print	サ、シャ、サイ、また
60	叡	又		1990	Names	エイ、あき-らか
61	叢	又		2004	Print	ソウ、ス、くさむら、むら-がる、むら
62	叶	口		1990	Names	キョウ、かな-える、かな-う
63	只	口		1951	Names	シ、ただ
64	吾	口		1951	Names	ゴ、われ、わが-、あ-
65	吞	口		2004	Print	ドン、トン、テン、のむ
66	吻	口		2004	Print	フン、ブン、くちわき、くちさき
67	哉	口		1951	Names	サイ、かな、や
68	哨	口		2004	Print	ショウ、みはり
69	啄	口		1990	Names	タク、ツク、トク、ついば-む、つつ-く
70	哩	口		2004	Other	リ、まいる
71	喬	口		1976	Names	キョウ、たか-い
72	喧	口		2004	Print	ケン、やかま-しい、かまびす-しい
73	喰	口		2004	Print	く-う、く-らう
74	喋	口		2004	Print	チョウ、トウ、しゃべ-る、ついば-む
75	嘩	口		2004	Print	カ、ケ、かまびす-しい
76	嘉	口		1951	Names	カ、よみ-する、よい
77	嘗	口		2004	Print	ショウ、ジョウ、かつ-て、こころ-みる、な-める
78	噌	口		2004	Print	ソウ、ショウ、ソ、かまびす-しい
79	噂	口		2004	Print	ソン、うわさ
80	圃	囗		2004	Print	ホ、フ、はたけ、にわ
81	圭	土		1951	Names	ケイ、ケ
82	坐	土		2004	Print	ザ、サ、すわ-る、おわす、そぞろに、まします
83	尭	土	堯	1981	Names	ギョウ、たか-い
84	坦	土		2004	Print	タン、たいら
85	埴	土		2004	Print	ショク、はに、へな
86	堰	土		2004	Print	エン、せき、せ-く
87	堺	土		2004	Print	カイ、さかい
88	堵	土		2004	Print	ト、かき
89	塙	土		2004	Other	カク、コウ、はなわ、かた-い
90	壕	土		2004	Print	コウ、ゴウ、ほり
91	壬	士		2004	Print	ニン、ジン、イ、みずのえ
92	夷	大		2004	Print	イ、えびす、えみし、ころ-す、たい-らげる
93	奄	大		2004	Print	エン、おお-う、たちまち
94	奎	大		1990	Names	ケイ、キ
95	套	大		2004	Print	トウ、かさ-ねる
96	娃	女		2004	Other	ア、アイ、ワ、うつく-しい
97	姪	女		2004	Print	テツ、チツ、ジチ、イツ、イチ、めい、おい
98	姥	女		2004	Print	ボ、モ、うば
99	娩	女		2004	Print	ベン
100	嬉	女		1990	Names	キ、うれ-しい、たの-しむ
101	孟	子		1981	Names	モウ、ボウ、ミョウ、かしら
102	宏	宀		1951	Names	コウ、ひろ-い
103	宋	宀		2004	Print	ソウ
104	宕	宀		2004	Print	トウ、すぎる
105	宥	宀		1990	Names	ユウ、なだ-める、ゆる-す
106	寅	宀		1951	Names	イン、とら
107	寓	宀		2004	Print	グウ、グ、ドウ、ぐう-する、かこつ-ける、よ-せる、よ-る、かりずまい
108	寵	宀		2004	Print	チョウ、めぐ-み、めぐ-む
109	尖	小		2004	Print	セン、とが-る、さき、するど-い
110	尤	尢		2004	Print	ユウ、もっと-も、とが-める
111	屑	尸		2004	Print	セツ、くず、いさぎよ-い
112	峨	山		2004	Print	ガ、けわ-しい
113	峻	山		1981	Names	シュン、けわ-しい、たか-い
114	崚	山		1990	Names	リョウ
115	嵯	山		1990	Names	サ、シ
116	嵩	山		1981	Names	スウ、シュウ、かさ、かさ-む、たか-い
117	嶺	山		1981	Names	レイ、リョウ
118	巌	山	巖	1951	Names	ガン、いわ、いわお、けわ-しい
119	巫	工		2015	Print	フ、みこ、かんなぎ
120	已	己		2004	Print	イ、や-む、すで-に、のみ、はなはだ
121	巳	己		1951	Names	シ、み
122	巴	己		1981	Names	ハ、ともえ、うずまき
123	巷	己		2004	Print	コウ、ちまた
124	巽	己		1990	Names	ソン、たつみ
125	帖	巾		2004	Print	チョウ、ジョウ、かきもの
126	幌	巾		2004	Print	コウ、ほろ、とばり
127	幡	巾		2004	Print	マン、ハン、バン、ホン、はた
128	庄	广		1951	Names	ショウ、ソ、ソウ、ホウ
129	庇	广		2004	Print	ヒ、ひさし、おお-う、かば-う
130	庚	广		2004	Print	コウ、かのえ
131	庵	广		2004	Print	アン、いおり、いお
132	廟	广		2004	Print	ビョウ、ミョウ、たまや、みたまや、やしろ
133	廻	廴		2004	Print	カイ、エ、まわ-る、まわ-す、もとお-る、めぐ-る、めぐ-らす
134	弘	弓		1951	Names	コウ、グ、ひろ-い
135	弛	弓		2004	Print	チ、シ、たる-む、たる-める、たゆ-む、ゆる-む、ゆる-み
136	彗	彐		1990	Names	スイ、エ、ケイ、セイ、ほうき
137	彦	彡		1951	Names	ゲン、ひこ
138	彪	彡		1990	Names	ヒョウ、ヒュウ、あや
139	彬	彡		1981	Names	ヒン、フン、うるわ-しい、あき-らか
140	徠	彳		2004	Other	ライ、きた-す、きた-る、く-る
141	忽	心		2004	Print	コツ、たちま-ち、ゆるが-せ
142	怜	心		1976	Names	レイ、レン、リョウ、あわ-れむ、さと-い
143	恢	心		2004	Print	カイ、ケ、ひろ-い
144	恰	心		2004	Print	コウ、カッ、チョウ、キョウ、あたか-も
145	恕	心		1990	Names	ジョ、ショ、ゆる-す
146	悌	心		1951	Names	テイ、ダイ
147	惟	心		1981	Names	イ、ユイ、おも-んみる、これ、おも-うに
148	惚	心		2004	Print	コツ、ほけ-る、ぼ-ける、ほ-れる
149	悉	心		2004	Print	シツ、シチ、つ-きる、ことごと、ことごと-く、つ-くす、つぶさ-に
150	惇	心		1981	Names	シュン、ジュン、トン、あつ-い
151	惹	心		2004	Print	ジャク、ジャ、ひ-く
152	惺	心		2004	Other	セイ、さと-る
153	惣	心		1951	Names	ソウ、いそが-しい、そうじて
154	慧	心		1981	Names	ケイ、エ、さとい
155	憐	心		2004	Print	レン、あわ-れむ、あわ-れ
156	戊	戈		2004	Print	ボ、ボウ、つちのえ
157	或	戈		2004	Print	ワク、コク、イキ、あ-る、あるい、あるいは
158	戟	戈		2004	Print	ゲキ、ほこ
159	托	手		2004	Print	タク、たく-する、たの-む
160	按	手		2004	Print	アン、おさ-える、しら-べる
161	挺	手		2004	Print	チョウ、テイ、ぬ-く
162	挽	手		2004	Print	バン、ひ-く
163	掬	手		2004	Print	キク、コク、きく-す、むす-ぶ、すく-う、たなごころ
164	捲	手		2004	Print	ケン、ま-く、ま-くる、まく-る、めく-る、まく-れる
165	捷	手		1990	Names	ショウ、ソウ、はや-い
