腕 湾 論 恋 齢 零 涙 領 療 涼 
了 粒 留 略 率 律 裏 卵 乱 絡 
頼 翌 欲 踊 溶 容 幼 預 与 余 
郵 優 輸 戻 綿 迷 娘 夢 務 眠 
枚 埋 磨 防 貿 棒 暴 忙 忘 帽 
坊 亡 豊 訪 抱 宝 報 暮 募 補 
捕 保 編 片 壁 閉 並 仏 沸 払 
複 腹 幅 復 封 舞 武 膚 符 浮 
普 怖 布 富 婦 貧 評 匹 備 非 
被 疲 比 批 彼 否 晩 販 般 犯 
版 判 抜 髪 肌 爆 薄 泊 背 杯 
拝 破 脳 能 濃 悩 燃 猫 認 任 
乳 難 軟 鈍 曇 届 突 独 銅 導 
逃 到 筒 盗 塔 凍 党 倒 怒 途 
渡 塗 殿 展 適 滴 泥 程 痛 賃 
珍 沈 頂 超 張 庁 著 駐 宙 畜 
築 遅 恥 値 段 暖 断 団 探 担 
濯 宅 退 袋 替 損 尊 存 測 則 
造 贈 蔵 臓 憎 増 像 装 総 窓 
燥 操 掃 捜 層 双 祖 善 泉 専 
占 絶 設 接 責 績 税 製 精 政 
性 姓 勢 制 吹 震 針 辛 寝 伸 
触 職 蒸 畳 状 条 情 常 城 紹 
昇 招 承 床 将 召 除 諸 署 緒 
処 純 準 述 術 柔 舟 修 収 授 
若 捨 湿 識 示 似 資 誌 詞 脂 
枝 支 志 師 刺 伺 賛 雑 冊 咲 
財 罪 在 際 済 歳 採 妻 再 座 
砂 査 混 婚 困 込 骨 腰 刻 香 
降 鉱 郊 講 荒 肯 耕 紅 硬 構 
更 厚 効 誤 御 互 雇 枯 故 呼 
個 限 現 減 険 軒 賢 肩 権 検 
券 件 劇 迎 警 経 敬 恵 傾 群 
靴 掘 隅 偶 禁 均 勤 胸 狭 況 
挟 恐 境 叫 供 許 巨 居 旧 吸 
久 逆 詰 喫 疑 技 規 祈 机 寄 
基 危 含 簡 看 甘 環 汗 換 慣 
干 巻 刊 乾 割 額 革 較 確 格 
拡 皆 灰 快 解 介 過 菓 河 可 
価 仮 欧 押 応 奥 汚 煙 演 延 
越 液 鋭 永 営 宇 因 域 違 移 
異 易 偉 依 圧 
