青白 (あおじろ)
青空 (あおぞら)
青田 (あおた)
青虫 (あおむし)
赤貝 (あかがい)
赤子 (あかご)
赤字 (あかじ)
赤土 (あかつち)
上足 (あげあし)
足音 (あしおと)
雨足 (あまあし)
天下り (あまくだり)
雨水 (あまみず)
雨上がり (あめあがり)
一円 (いちえん)
一見 (いちげん)
一字 (いちじ)
一年 (いちねん)
一文 (いちぶん)
一目 (いちもく)
一下 (いっか)
一気に (いっきに)
一見 (いっけん)
一見 (いっけん)
一生 (いっしょう)
一千 (いっせん)
一足 (いっそく)
一手 (いって)
一本 (いっぽん)
五日 (いつか)
糸口 (いとぐち)
入口 (いりぐち)
上下 (うえした)
雨水 (うすい)
雨天 (うてん)
上目 (うわめ)
王子 (おうじ)
王手 (おうて)
大雨 (おおあめ)
大石 (おおいし)
大入 (おおいり)
大男 (おおおとこ)
大川 (おおかわ)
大口 (おおくち)
大口 (おおぐち)
大空 (おおぞら)
大手 (おおて)
大手 (おおで)
大水 (おおみず)
大目 (おおめ)
大文字 (おおもじ)
大本 (おおもと)
大山 (おおやま)
小川 (おがわ)
お手上げ (おてあげ)
お手本 (おてほん)
男手 (おとこで)
大人 (おとな)
大人げな (おとなげな)
大人し (おとなし)
大人び (おとなび)
火気 (かき)
火口 (かこう)
火山 (かざん)
上手 (かみて)
空手 (からて)
火力 (かりょく)
川上 (かわかみ)
川口 (かわぐち)
川下 (かわしも)
学生 (がくせい)
学年 (がくねん)
学名 (がくめい)
学力 (がくりょく)
学校 (がっこう)
生糸 (きいと)
木目 (きめ)
気休め (きやすめ)
休学 (きゅうがく)
休校 (きゅうこう)
休日 (きゅうじつ)
気力 (きりょく)
金力 (きんりょく)
空気 (くうき)
空車 (くうしゃ)
空中 (くうちゅう)
空白 (くうはく)
草木 (くさき)
草花 (くさばな)
口金 (くちがね)
口車 (くちぐるま)
口火 (くちび)
見学 (けんがく)
下校 (げこう)
下山 (げざん)
下車 (げしゃ)
下水 (げすい)
下足 (げそく)
月下 (げっか)
小石 (こいし)
口上 (こうじょう)
校正 (こうせい)
校生 (こうせい)
小男 (こおとこ)
小口 (こぐち)
九日 (ここのか)
小雨 (こさめ)
木立 (こだち)
小手 (こて)
小手先 (こてさき)
小人 (こびと)
小文字 (こもじ)
小山 (こやま)
五十音 (ごじゅうおん)
五目 (ごもく)
先立 (さきだ)
先立て (さきだて)
五月 (さつき)
五月雨 (さみだれ)
左右 (さゆう)
山上 (さんじょう)
山川草木 (さんせんそうもく)
山村 (さんそん)
山中 (さんちゅう)
三人 (さんにん)
山林 (さんりん)
子音 (しいん)
子女 (しじょ)
下手 (したて)
下火 (したび)
下町 (したまち)
下見 (したみ)
七生 (しちしょう)
四天王 (してんのう)
下手 (しもて)
車中 (しゃちゅう)
赤口 (しゃっこう)
手中 (しゅちゅう)
出火 (しゅっか)
出金 (しゅっきん)
出生 (しゅっしょう)
出水 (しゅっすい)
出生 (しゅっせい)
出入 (しゅつにゅう)
出力 (しゅつりょく)
小学 (しょうがく)
小学生 (しょうがくせい)
小学校 (しょうがっこう)
正月 (しょうがつ)
正気 (しょうき)
小水 (しょうすい)
小生 (しょうせい)
小人 (しょうにん)
白木 (しらき)
白子 (しらこ)
白玉 (しらたま)
森林 (しんりん)
字下げ (じさげ)
耳目 (じもく)
十字 (じゅうじ)
十文字 (じゅうもんじ)
入水 (じゅすい)
女王 (じょうおう)
上気 (じょうき)
上空 (じょうくう)
上下 (じょうげ)
上水 (じょうすい)
上手 (じょうず)
上天気 (じょうてんき)
女王 (じょおう)
女学生 (じょがくせい)
女子 (じょし)
女子大 (じょしだい)
女中 (じょちゅう)
人口 (じんこう)
人生 (じんせい)
人文 (じんぶん)
人名 (じんめい)
人力車 (じんりきしゃ)
人力 (じんりょく)
水車 (すいしゃ)
水上 (すいじょう)
水中 (すいちゅう)
水田 (すいでん)
水力 (すいりょく)
生花 (せいか)
生気 (せいき)
青年 (せいねん)
生年月日 (せいねんがっぴ)
赤十字 (せきじゅうじ)
先学 (せんがく)
先見 (せんけん)
先月 (せんげつ)
先日 (せんじつ)
先人 (せんじん)
先生 (せんせい)
先手 (せんて)
先天 (せんてん)
村立 (そんりつ)
