合図 (あいず)
合間 (あいま)
赤毛 (あかげ)
赤線 (あかせん)
赤丸 (あかまる)
秋雨 (あきさめ)
秋晴れ (あきばれ)
朝市 (あさいち)
朝方 (あさがた)
明後日 (あさって)
朝日 (あさひ)
朝夕 (あさゆう)
足首 (あしくび)
明日 (あした)
足元 (あしもと)
明日 (あす)
頭数 (あたまかず)
頭金 (あたまきん)
後書き (あとがき)
後先 (あとさき)
後出し (あとだし)
海女 (あま)
雨雲 (あまぐも)
数多 (あまた)
雨戸 (あまど)
新手 (あらて)
家出 (いえで)
家元 (いえもと)
一家言 (いちかごん)
一丸 (いちがん)
一元 (いちげん)
一言 (いちげん)
一言 (いちごん)
一時 (いちじ)
一同 (いちどう)
一時 (いちどき)
一読 (いちどく)
一人前 (いちにんまえ)
市場 (いちば)
一番 (いちばん)
一門 (いちもん)
一夜 (いちや)
一理 (いちり)
市立 (いちりつ)
一家 (いっか)
一回 (いっかい)
一角 (いっかく)
一計 (いっけい)
一行 (いっこう)
一国 (いっこく)
一切 (いっさい)
一室 (いっしつ)
一首 (いっしゅ)
一週間 (いっしゅうかん)
一心 (いっしん)
一新 (いっしん)
一心同体 (いっしんどうたい)
一心に (いっしんに)
一石二鳥 (いっせきにちょう)
一線 (いっせん)
一体 (いったい)
一昼夜 (いっちゅうや)
一朝一夕 (いっちょういっせき)
一点 (いってん)
一頭 (いっとう)
一時 (いっとき)
一風 (いっぷう)
一歩 (いっぽ)
一方 (いっぽう)
何時 (いつ)
色合い (いろあい)
色色 (いろいろ)
色気 (いろけ)
色子 (いろこ)
色目 (いろめ)
色分け (いろわけ)
岩角 (いわかど)
岩場 (いわば)
引火 (いんか)
引用 (いんよう)
引力 (いんりょく)
右記 (うき)
歌声 (うたごえ)
内気 (うちき)
内金 (うちきん)
内弟子 (うちでし)
海原 (うなばら)
午年 (うまどし)
海千山千 (うみせんやません)
海鳥 (うみどり)
羽毛 (うもう)
売上 (うりあげ)
売上金 (うりあげきん)
売上高 (うりあげだか)
売子 (うりこ)
売出 (うりだし)
売場 (うりば)
売行き (うれゆき)
上書き (うわがき)
上前 (うわまえ)
上回 (うわまわ)
雲海 (うんかい)
絵本 (えほん)
絵馬 (えま)
遠海 (えんかい)
遠近 (えんきん)
円形 (えんけい)
遠心力 (えんしんりょく)
遠足 (えんそく)
円高 (えんだか)
園長 (えんちょう)
遠方 (えんぽう)
遠来 (えんらい)
王国 (おうこく)
黄金 (おうごん)
王室 (おうしつ)
黄色 (おうしょく)
王朝 (おうちょう)
黄土色 (おうどいろ)
王道 (おうどう)
お絵書き (おえかき)
大売出し (おおうりだし)
大風 (おおかぜ)
大方 (おおかた)
大方 (おおかた)
大形 (おおがた)
大声 (おおごえ)
大通り (おおどおり)
大引け (おおびけ)
大家 (おおや)
大雪 (おおゆき)
小父 (おじ)
お手数 (おてかず)
お手数 (おてすう)
お手間 (おてま)
お点前 (おてまえ)
お電話 (おでんわ)
お名前 (おなまえ)
小母 (おば)
親方 (おやかた)
親子 (おやこ)
親父 (おやじ)
親玉 (おやだま)
親分 (おやぶん)
親元 (おやもと)
音楽 (おんがく)
音声 (おんじょう)
音声 (おんせい)
音頭 (おんど)
音読み (おんよみ)
絵画 (かいが)
海外 (かいがい)
回帰 (かいき)
回帰線 (かいきせん)
回教 (かいきょう)
会計 (かいけい)
会見 (かいけん)
会合 (かいごう)
海山 (かいざん)
会社 (かいしゃ)
回春 (かいしゅん)
会食 (かいしょく)
会心 (かいしん)
会場 (かいじょう)
海上 (かいじょう)
海水 (かいすい)
回数 (かいすう)
回生 (かいせい)
回線 (かいせん)
海草 (かいそう)
海中 (かいちゅう)
会長 (かいちょう)
会頭 (かいとう)
回答 (かいとう)
会話 (かいわ)
顔合せ (かおあわせ)
顔色 (かおいろ)
顔立ち (かおだち)
顔見知り (かおみしり)
科学 (かがく)
下記 (かき)
家教 (かきょう)
画数 (かくすう)
家計 (かけい)
家作 (かさく)
風上 (かざかみ)
風車 (かざぐるま)
風下 (かざしも)
風見 (かざみ)
歌手 (かしゅ)
歌人 (かじん)
春日 (かすが)
下図 (かず)
数多 (かずおお)
数多く (かずおおく)
数少な (かずすくな)
下線 (かせん)
形作 (かたちづく)
形見 (かたみ)
活気 (かっき)
合羽 (かっぱ)
活字 (かつじ)
活用 (かつよう)
活力 (かつりょく)
家電 (かでん)
門口 (かどぐち)
角地 (かどち)
門出 (かどで)
家内 (かない)
金回り (かねまわり)
家風 (かふう)
上方 (かみがた)
家名 (かめい)
科目 (かもく)
火曜 (かよう)
火曜日 (かようび)
空回り (からまわり)
川原 (かわら)
間食 (かんしょく)
外角 (がいかく)
外気 (がいき)
外形 (がいけい)
外見 (がいけん)
外交 (がいこう)
外国 (がいこく)
外語 (がいご)
外紙 (がいし)
会社 (がいしゃ)
外車 (がいしゃ)
外出 (がいしゅつ)
外食 (がいしょく)
外心 (がいしん)
外字 (がいじ)
外人 (がいじん)
外声 (がいせい)
外線 (がいせん)
外電 (がいでん)
外聞 (がいぶん)
外米 (がいまい)
外野 (がいや)
外来 (がいらい)
外力 (がいりょく)
画家 (がか)
学園 (がくえん)
学才 (がくさい)
学長 (がくちょう)
学内 (がくない)
学友 (がくゆう)
画才 (がさい)
学科 (がっか)
学会 (がっかい)
合作 (がっさく)
合算 (がっさん)
合体 (がったい)
画用紙 (がようし)
元金 (がんきん)
顔色 (がんしょく)
元日 (がんじつ)
岩石 (がんせき)
元年 (がんねん)
元本 (がんぽん)
元来 (がんらい)
気合い (きあい)
黄色 (きいろ)
黄色 (きいろ)
帰京 (ききょう)
帰国 (きこく)
気心 (きごころ)
帰社 (きしゃ)
汽車 (きしゃ)
気色 (きしょく)
生地 (きじ)
木地 (きじ)
汽船 (きせん)
気体 (きたい)
北風 (きたかぜ)
北口 (きたぐち)
北回り (きたまわり)
切先 (きっさき)
切手 (きって)
木戸 (きど)
気長 (きなが)
記入 (きにゅう)
木場 (きば)
気晴らし (きばらし)
気風 (きふう)
気分 (きぶん)
気前 (きまえ)
記名 (きめい)
休会 (きゅうかい)
休止 (きゅうし)
休場 (きゅうじょう)
弓道 (きゅうどう)
今日 (きょう)
教科 (きょうか)
教会 (きょうかい)
教科書 (きょうかしょ)
強行 (きょうこう)
強国 (きょうこく)
教室 (きょうしつ)
教書 (きょうしょ)
強心 (きょうしん)
強弱 (きょうじゃく)
教場 (きょうじょう)
教生 (きょうせい)
強大 (きょうだい)
兄弟 (きょうだい)
教頭 (きょうとう)
今日日 (きょうび)
強風 (きょうふう)
京間 (きょうま)
強力 (きょうりょく)
気弱 (きよわ)
帰来 (きらい)
気楽 (きらく)
切上げ (きりあげ)
切口 (きりくち)
切下げ (きりさげ)
金色 (きんいろ)
近火 (きんか)
近海 (きんかい)
金魚 (きんぎょ)
金工 (きんこう)
近作 (きんさく)
近親 (きんしん)
近日 (きんじつ)
金星 (きんせい)
近年 (きんねん)
金星 (きんぼし)
金曜 (きんよう)
金曜日 (きんようび)
近来 (きんらい)
牛車 (ぎっしゃ)
牛後 (ぎゅうご)
牛肉 (ぎゅうにく)
牛馬 (ぎゅうば)
牛歩 (ぎゅうほ)
行間 (ぎょうかん)
行書 (ぎょうしょ)
行水 (ぎょうずい)
行頭 (ぎょうとう)
魚肉 (ぎょにく)
空間 (くうかん)
空自 (くうじ)
空前 (くうぜん)
空母 (くうぼ)
草分け (くさわけ)
口当り (くちあたり)
口絵 (くちえ)
口数 (くちかず)
口数 (くちすう)
口走 (くちばし)
口元 (くちもと)
組合 (くみあい)
組合せ (くみあわせ)
雲間 (くもま)
黒石 (くろいし)
黒字 (くろじ)
黒土 (くろつち)
黒星 (くろぼし)
黒目 (くろめ)
黒山 (くろやま)
計画 (けいかく)
計算 (けいさん)
計算書 (けいさんしょ)
計上 (けいじょう)
計数 (けいすう)
兄弟 (けいてい)
毛糸 (けいと)
今朝 (けさ)
気色 (けしき)
気色ば (けしきば)
気高 (けだか)
毛虫 (けむし)
家来 (けらい)
見地 (けんち)
見当 (けんとう)
見聞 (けんぶん)
外科 (げか)
下戸 (げこ)
下水道 (げすいどう)
下船 (げせん)
下足番 (げそくばん)
月間 (げっかん)
月光 (げっこう)
月食 (げっしょく)
月曜 (げつよう)
月曜日 (げつようび)
