相生 (あいおい)
相方 (あいかた)
相対 (あいたい)
相次 (あいつ)
相通 (あいつう)
相手 (あいて)
相手先 (あいてさき)
青葉 (あおば)
青物 (あおもの)
悪意 (あくい)
悪手 (あくしゅ)
悪事 (あくじ)
悪食 (あくじき)
悪玉 (あくだま)
悪人 (あくにん)
悪病 (あくびょう)
悪平等 (あくびょうどう)
悪名 (あくみょう)
悪名 (あくめい)
悪役 (あくやく)
悪友 (あくゆう)
悪用 (あくよう)
足軽 (あしがる)
足取り (あしどり)
味気な (あじけな)
味見 (あじみ)
小豆 (あずき)
頭打ち (あたまうち)
悪化 (あっか)
悪漢 (あっかん)
悪口 (あっこう)
暑苦し (あつくるし)
油絵 (あぶらえ)
暗雲 (あんうん)
暗記 (あんき)
暗黒 (あんこく)
暗号 (あんごう)
暗算 (あんざん)
暗室 (あんしつ)
暗所 (あんしょ)
暗色 (あんしょく)
安心 (あんしん)
安心 (あんしん)
安住 (あんじゅう)
安全 (あんぜん)
安息 (あんそく)
暗中 (あんちゅう)
安直 (あんちょく)
安定 (あんてい)
安楽 (あんらく)
委員 (いいん)
医院 (いいん)
委員会 (いいんかい)
家路 (いえじ)
医科 (いか)
意外 (いがい)
医学 (いがく)
医学部 (いがくぶ)
意気 (いき)
息切れ (いきぎれ)
息苦し (いきぐるし)
委曲 (いきょく)
医局 (いきょく)
医業 (いぎょう)
意見 (いけん)
意向 (いこう)
委細 (いさい)
意思 (いし)
石橋 (いしばし)
医者 (いしゃ)
医書 (いしょ)
意地 (いじ)
意地悪 (いじわる)
意地悪 (いじわる)
五十路 (いそじ)
板場 (いたば)
板前 (いたまえ)
医大 (いだい)
一意 (いちい)
一員 (いちいん)
一事 (いちじ)
一次 (いちじ)
一助 (いちじょ)
一対多 (いちたいた)
一度 (いちど)
一部 (いちぶ)
一部分 (いちぶぶん)
一命 (いちめい)
一面 (いちめん)
意中 (いちゅう)
一様 (いちよう)
一流 (いちりゅう)
一路 (いちろ)
一期 (いっき)
一向 (いっこう)
一式 (いっしき)
一章 (いっしょう)
一身 (いっしん)
一世 (いっせい)
一長一短 (いっちょういったん)
一定 (いってい)
一転 (いってん)
