相容れな (あいいれな)
愛護 (あいご)
愛妻 (あいさい)
相性 (あいしょう)
愛情 (あいじょう)
悪質 (あくしつ)
悪性 (あくせい)
悪銭 (あくせん)
悪態 (あくたい)
悪徳 (あくとく)
悪夢 (あくむ)
圧殺 (あっさつ)
圧死 (あっし)
圧勝 (あっしょう)
圧制 (あっせい)
厚紙 (あつがみ)
厚着 (あつぎ)
厚地 (あつじ)
厚手 (あつで)
圧力 (あつりょく)
編目 (あみめ)
安易 (あんい)
安価 (あんか)
安居 (あんきょ)
案件 (あんけん)
暗証 (あんしょう)
暗示 (あんじ)
安保 (あんぽ)
いい加減 (いいかげん)
移管 (いかん)
意義 (いぎ)
移行 (いこう)
居心地 (いごこち)
居酒屋 (いざかや)
意志 (いし)
医師 (いし)
意識 (いしき)
移出 (いしゅつ)
移植 (いしょく)
移住 (いじゅう)
移設 (いせつ)
移送 (いそう)
居候 (いそうろう)
一因 (いちいん)
一応 (いちおう)
一応 (いちおう)
一眼 (いちがん)
一団 (いちだん)
一任 (いちにん)
一過性 (いっかせい)
一興 (いっきょう)
一件落着 (いっけんらくちゃく)
一切合財 (いっさいがっさい)
一妻多夫 (いっさいたふ)
一酸化炭素 (いっさんかたんそ)
一夫多妻 (いっぷたさい)
一報 (いっぽう)
移転 (いてん)
移動 (いどう)
居所 (いどころ)
居直 (いなお)
田舎 (いなか)
田舎っぺ (いなかっぺ)
移入 (いにゅう)
委任 (いにん)
居残 (いのこ)
居場所 (いばしょ)
居間 (いま)
移民 (いみん)
医務 (いむ)
因果 (いんが)
因業 (いんごう)
因子 (いんし)
因習 (いんしゅう)
因数 (いんすう)
院政 (いんせい)
引責 (いんせき)
印税 (いんぜい)
引率 (いんそつ)
引退 (いんたい)
引導 (いんどう)
右往左往 (うおうさおう)
有情 (うじょう)
運営 (うんえい)
運河 (うんが)
運勢 (うんせい)
運輸 (うんゆ)
永遠 (えいえん)
永久 (えいきゅう)
永久歯 (えいきゅうし)
営業 (えいぎょう)
営業課 (えいぎょうか)
営業中 (えいぎょうちゅう)
営業部 (えいぎょうぶ)
永住 (えいじゅう)
永世 (えいせい)
衛星 (えいせい)
衛生 (えいせい)
衛生士 (えいせいし)
営造 (えいぞう)
永続 (えいぞく)
営団 (えいだん)
英断 (えいだん)
永年 (えいねん)
栄養価 (えいようか)
栄養素 (えいようそ)
営利 (えいり)
営林 (えいりん)
液化 (えきか)
易者 (えきしゃ)
液状 (えきじょう)
液性 (えきせい)
液体 (えきたい)
役務 (えきむ)
絵師 (えし)
枝葉 (えだは)
枝豆 (えだまめ)
枝道 (えだみち)
演歌 (えんか)
演技 (えんぎ)
演芸 (えんげい)
塩酸 (えんさん)
演算 (えんざん)
演習 (えんしゅう)
演出 (えんしゅつ)
演説 (えんぜつ)
演目 (えんもく)
桜花 (おうか)
応急 (おうきゅう)
応札 (おうさつ)
往信 (おうしん)
往時 (おうじ)
往生 (おうじょう)
王制 (おうせい)
応接 (おうせつ)
応戦 (おうせん)
応対 (おうたい)
横断 (おうだん)
応答 (おうとう)
黄銅 (おうどう)
往年 (おうねん)
往復 (おうふく)
応報 (おうほう)
横暴 (おうぼう)
応用 (おうよう)
往来 (おうらい)
横領 (おうりょう)
応力 (おうりょく)
往路 (おうろ)
大勢 (おおぜい)
大年増 (おおどしま)
大判 (おおばん)
お加減 (おかげん)
可笑し (おかし)
送り仮名 (おくりがな)
帯状 (おびじょう)
織物 (おりもの)
恩返し (おんがえし)
恩給 (おんきゅう)
温厚 (おんこう)
恩師 (おんし)
音質 (おんしつ)
恩賞 (おんしょう)
温情 (おんじょう)
恩人 (おんじん)
音素 (おんそ)
音像 (おんぞう)
音程 (おんてい)
恩典 (おんてん)
会員制 (かいいんせい)
開演 (かいえん)
快活 (かいかつ)
快感 (かいかん)
開眼 (かいがん)
快気 (かいき)
快挙 (かいきょ)
解禁 (かいきん)
解決 (かいけつ)
解散 (かいさん)
改修 (かいしゅう)
解消 (かいしょう)
解職 (かいしょく)
快事 (かいじ)
開示 (かいじ)
快晴 (かいせい)
解説 (かいせつ)
開設 (かいせつ)
開祖 (かいそ)
快走 (かいそう)
会則 (かいそく)
快速 (かいそく)
改造 (かいぞう)
解像度 (かいぞうど)
解体 (かいたい)
解題 (かいだい)
改築 (かいちく)
快調 (かいちょう)
快適 (かいてき)
解答 (かいとう)
解読 (かいどく)
解任 (かいにん)
改版 (かいはん)
快美 (かいび)
回復 (かいふく)
快復 (かいふく)
改編 (かいへん)
会報 (かいほう)
解放 (かいほう)
快方 (かいほう)
会務 (かいむ)
解明 (かいめい)
解約 (かいやく)
快楽 (かいらく)
価格 (かかく)
可観測 (かかんそく)
書留 (かきとめ)
可逆 (かぎゃく)
格上げ (かくあげ)
