愛敬 (あいきょう)
相異な (あいことな)
赤潮 (あかしお)
上潮 (あげしお)
朝晩 (あさばん)
足並み (あしなみ)
圧巻 (あっかん)
圧縮 (あっしゅく)
圧延 (あつえん)
貴方 (あなた)
貴方達 (あなたたち)
兄貴 (あにき)
雨降り (あめふり)
新巻 (あらまき)
在処 (ありか)
有難 (ありがた)
有難味 (ありがたみ)
有難う (ありがとう)
暗視 (あんし)
安否 (あんぴ)
異化 (いか)
胃下垂 (いかすい)
異境 (いきょう)
異郷 (いきょう)
異教徒 (いきょうと)
異義 (いぎ)
異議 (いぎ)
遺業 (いぎょう)
異口同音 (いくどうおん)
異見 (いけん)
以降 (いこう)
異国 (いこく)
遺骨 (いこつ)
遺言 (いごん)
遺作 (いさく)
遺産 (いさん)
遺志 (いし)
異質 (いしつ)
遺失 (いしつ)
異種 (いしゅ)
遺書 (いしょ)
衣装 (いしょう)
異色 (いしょく)
遺児 (いじ)
異常 (いじょう)
異状 (いじょう)
異人 (いじん)
居座 (いすわ)
異性 (いせい)
異星 (いせい)
異説 (いせつ)
遺族 (いぞく)
異存 (いぞん)
異体 (いたい)
遺体 (いたい)
異体字 (いたいじ)
痛手 (いたで)
一存 (いちぞん)
一段 (いちだん)
一段落 (いちだんらく)
遺著 (いちょ)
一覧 (いちらん)
一律 (いちりつ)
一巻 (いっかん)
一刻 (いっこく)
一心不乱 (いっしんふらん)
一層 (いっそう)
一派 (いっぱ)
胃痛 (いつう)
射手 (いて)
遺伝 (いでん)
遺伝子 (いでんし)
射止め (いとめ)
異動 (いどう)
異同 (いどう)
居並 (いなら)
遺品 (いひん)
異物 (いぶつ)
遺物 (いぶつ)
異変 (いへん)
異名 (いめい)
否応 (いやおう)
否応なしに (いやおうなしに)
意訳 (いやく)
異様 (いよう)
意欲 (いよく)
遺留 (いりゅう)
異例 (いれい)
異論 (いろん)
印刻 (いんこく)
打傷 (うちきず)
内幕 (うちまく)
宇宙 (うちゅう)
有頂天 (うちょうてん)
内訳 (うちわけ)
右派 (うは)
乳母 (うば)
海沿い (うみぞい)
梅干 (うめぼし)
梅干し (うめぼし)
裏表 (うらおもて)
裏方 (うらかた)
裏返 (うらがえ)
裏返 (うらがえ)
裏書 (うらがき)
裏金 (うらがね)
裏側 (うらがわ)
裏切 (うらぎ)
裏口 (うらぐち)
裏作 (うらさく)
裏地 (うらじ)
裏付け (うらづけ)
裏付け (うらづけ)
裏手 (うらて)
裏庭 (うらにわ)
裏腹 (うらはら)
裏町 (うらまち)
裏道 (うらみち)
裏目 (うらめ)
裏山 (うらやま)
売値 (うりね)
運針 (うんしん)
運賃 (うんちん)
映画 (えいが)
映画館 (えいがかん)
映写 (えいしゃ)
映写機 (えいしゃき)
映像 (えいぞう)
英訳 (えいやく)
営林署 (えいりんしょ)
干支 (えと)
絵巻 (えまき)
沿海 (えんかい)
沿革 (えんかく)
沿岸 (えんがん)
延期 (えんき)
演劇 (えんげき)
遠視 (えんし)
延焼 (えんしょう)
円熟 (えんじゅく)
円熟味 (えんじゅくみ)
延性 (えんせい)
沿線 (えんせん)
演奏 (えんそう)
延着 (えんちゃく)
延長 (えんちょう)
沿道 (えんどう)
延命 (えんめい)
王座 (おうざ)
王将 (おうしょう)
大蔵 (おおくら)
大筋 (おおすじ)
大盛り (おおもり)
陸蒸気 (おかじょうき)
幼子 (おさなご)
面映 (おもはゆ)
親孝行 (おやこうこう)
親孝行 (おやこうこう)
