亜 尉 逸 姻 韻 渦 浦 疫 謁 猿 
凹 翁 寡 禍 稼 蚊 懐 拐 劾 涯 
垣 嚇 核 殻 喝 括 渇 褐 轄 且 
堪 寛 患 憾 棺 款 缶 艦 還 閑 
陥 頑 飢 偽 宜 擬 窮 糾 拒 享 
恭 挟 矯 暁 琴 菌 襟 謹 吟 虞 
隅 靴 勲 薫 慶 渓 茎 蛍 傑 嫌 
懸 献 謙 顕 弦 呉 碁 侯 江 洪 
溝 肯 衡 貢 購 剛 拷 酷 懇 昆 
唆 詐 宰 栽 砕 斎 索 傘 桟 嗣 
肢 賜 璽 漆 遮 蛇 爵 酌 珠 儒 
囚 愁 臭 酬 醜 充 汁 渋 銃 叔 
淑 粛 塾 俊 准 循 殉 庶 緒 叙 
償 升 奨 宵 尚 彰 抄 渉 症 硝 
礁 祥 粧 肖 訟 詔 剰 壌 浄 醸 
唇 娠 紳 診 刃 甚 迅 酢 帥 睡 
崇 枢 据 杉 畝 誓 逝 斉 析 拙 
窃 仙 栓 旋 繊 薦 践 遷 漸 禅 
塑 疎 租 喪 壮 捜 挿 曹 槽 荘 
藻 霜 堕 妥 惰 駄 泰 濯 但 棚 
痴 逐 秩 嫡 衷 弔 懲 挑 眺 勅 
朕 津 塚 漬 坪 釣 亭 偵 貞 呈 
廷 艇 逓 邸 泥 徹 撤 迭 悼 搭 
棟 筒 謄 騰 洞 督 凸 屯 軟 尼 
妊 忍 寧 猫 把 覇 廃 培 媒 賠 
伯 舶 漠 肌 鉢 閥 煩 頒 妃 扉 
披 罷 賓 頻 瓶 扶 譜 附 侮 沸 
憤 雰 丙 併 塀 幣 弊 偏 遍 俸 
泡 褒 剖 紡 僕 撲 朴 堀 奔 摩 
磨 麻 抹 繭 岬 銘 妄 盲 耗 戻 
厄 柳 愉 癒 諭 唯 悠 猶 裕 融 
庸 窯 羅 酪 履 痢 硫 竜 虜 僚 
寮 涼 倫 塁 累 鈴 賄 枠 
