亜	亞
悪	惡
為	爲
逸	逸︁
栄	榮
衛	衞
謁	謁︀
円	圓
縁	緣
園	薗
応	應
桜	櫻
奥	奧
横	橫
温	溫
価	價
禍	禍︀
悔	悔︀
海	海︀
壊	壞
懐	懷
楽	樂
渇	渴
巻	卷
陥	陷
寛	寬
漢	漢︀
気	氣
祈	祈︀
器	器︀
偽	僞
戯	戲
虚	虛
峡	峽
狭	狹
響	響︀
暁	曉
勤	勤︀
謹	謹︀
駆	駈
勲	勳
薫	薰
恵	惠
掲	揭
鶏	鷄
芸	藝
撃	擊
県	縣
倹	儉
剣	劍
険	險
圏	圈
検	檢
顕	顯
験	驗
厳	嚴
広	廣
恒	恆
黄	黃
国	國
黒	黑
穀	穀︀
砕	碎
雑	雜
祉	祉︀
視	視︀
児	兒
湿	濕
実	實
社	社︀
者	者︀
煮	煮︀
寿	壽
収	收
臭	臭︀
従	從
渋	澁
獣	獸
縦	縱
祝	祝︀
暑	暑︀
署	署︀
緒	緖
諸	諸︀
叙	敍
将	將
祥	祥︀
渉	涉
焼	燒
奨	奬
条	條
状	狀
乗	乘
浄	淨
剰	剩
畳	疊
嬢	孃
譲	讓
醸	釀
神	神︀
真	眞
寝	寢
慎	愼
尽	盡
粋	粹
酔	醉
穂	穗
瀬	瀨
斉	齊
静	靜
摂	攝
節	節︀
専	專
戦	戰
繊	纖
禅	禪
祖	祖︀
壮	壯
争	爭
荘	莊
捜	搜
巣	巢
曽	曾
装	裝
僧	僧︀
層	層︀
痩	瘦
騒	騷
増	增
憎	憎︀
蔵	藏
贈	贈︀
臓	臟
即	卽
帯	帶
滞	滯
滝	瀧
単	單
嘆	嘆︀
団	團
弾	彈
昼	晝
鋳	鑄
著	著︀
庁	廳
徴	徵
聴	聽
懲	懲︀
鎮	鎭
転	轉
伝	傳
都	都︀
島	嶋
灯	燈
盗	盜
稲	稻
徳	德
突	突︀
難	難︀
拝	拜
杯	盃
売	賣
梅	梅︀
髪	髮
抜	拔
繁	繁︀
晩	晚
卑	卑︀
秘	祕
碑	碑︀
賓	賓︀
敏	敏︀
富	冨
侮	侮︀
福	福︀
払	拂
仏	佛
勉	勉︀
歩	步
峰	峯
墨	墨︀
翻	飜
毎	每
万	萬
黙	默
野	埜
弥	彌
薬	藥
与	與
揺	搖
様	樣
謡	謠
来	來
頼	賴
覧	覽
欄	欄︀
竜	龍
虜	虜︀
涼	凉
緑	綠
涙	淚
塁	壘
類	類︀
礼	禮
暦	曆
歴	歷
練	練︁
錬	鍊
郎	郞
朗	朗︀
廊	廊︀
録	錄
