Number	Name	LongName	Reading
001	一	一部（いちぶ）	イチ
002	丨	丨部（こんぶ）	ぼう たてぼう
003	丶	丶部（ちゅぶ）	てん
004	丿	丿部（へつぶ）	の はらいぼう
005	乙	乙部（おつぶ）	オツ おつにょう つりばり
006	亅	亅部（けつぶ）	はねぼう ケツ かぎ
007	二	二部（にぶ）	ニ
008	亠	亠部（とうぶ）	けいさんかんむり なべぶた けさんかんむり
009	人 亻	人部（じんぶ）	ひと にんべん ひとがしら ひとやね
010	儿	儿部（じんぶ）	にんにょう ひとあし
011	入	入部（にゅうぶ）	いる いりがしら いりやね ニュウ
012	八	八部（はちぶ）	ハチ はちがしら
013	冂	冂部（けいぶ）	けいがまえ まきがまえ どうがまえ えんがまえ
014	冖	冖部（べきぶ）	わかんむり べきかんむり
015	冫	冫部（ひょうぶ）	にすい
016	几	几部（きぶ）	つくえ きにょう つくえきにょう かぜかんむり かぜがまえ
017	凵	凵部（かんぶ）	かんにょう うけばこ
018	刀 刂	刀部（とうぶ）	かたな りっとう
019	力	力部（りょくぶ）	ちから
020	勹	勹部（ほうぶ）	つつみがまえ
021	匕	匕部（ひぶ）	ヒ さじ さじのひ
022	匚	匚部（ほうぶ）	はこがまえ
023	匸	匸部（けいぶ）	かくしがまえ
024	十	十部（じゅうぶ）	ジュウ
025	卜	卜部（ぼくぶ）	ボク ぼくのと うらない
026	卩	卩部（せつぶ）	ふしづくり まげわりふ わりふ
027	厂	厂部（かんぶ）	がんだれ
028	厶	厶部（しぶ）	む
029	又	又部（ゆうぶ）	また
030	口	口部（こうぶ）	くち くちへん
031	囗	囗部（いぶ）	くにがまえ
032	土	土部（どぶ）	つち つちへん
033	士	士部（しぶ）	さむらい さむらいかんむり
034	夂	夂部（ちぶ）	ふゆがしら ちかんむり のまたかんむり
035	夊	夊部（すいぶ）	すいにょう なつあし
036	夕	夕部（せきぶ）	ゆう ゆうべ タ
037	大	大部（だいぶ）	ダイ だいかんむり だいかしら
038	女	女部（じょぶ）	おんな おんなへん
039	子	子部（しぶ）	こ こへん こども こどもへん
040	宀	宀部（べんぶ）	うかんむり
041	寸	寸部（すんぶ）	スン
042	小	小部（しょうぶ）	ショウ ちいさい しょうがしら なおがしら
043	尢 尣	尢部（おうぶ）	だいのまげあし まげあし おうにょう オウ
044	尸	尸部（しぶ）	しかばね しかばねかんむり かばね かばねだれ
045	屮	屮部（てつぶ）	テツ くさのめ めばえ
046	山	山部（さんぶ）	やま やまへん
047	巛 川	巛部（せんぶ）	まがりかわ かわ さんぽがわ
