Code	Name	Block	Version	Radical	Strokes	VStrokes	Pinyin	MorohashiId	NelsonIds	Sources	JSource	Joyo	Jinmei	LinkCodes	LinkNames	LinkType	Meaning	On	Kun
3400	㐀	CJK_Ext_A	3.0	1	5		qiū			GJT	JA-2121			4E18	丘	Definition*	hill; elder; empty; a name	KYUU	OKA
3402	㐂	CJK_Ext_A	3.0	1	6				265	J	JA3-2E23			559C	喜	Definition*	like, love, enjoy; joyful thing	KI SHI	YOROKOBU YOROKOBI
3404	㐄	CJK_Ext_A	3.0	2	3		kuà			GJT	JA-2123								
3405	㐅	CJK_Ext_A	3.0	4	2		wǔ			GJT	JA-2124			4E94	五	Definition*	five; surname	GO	ITSUTSU
3406	㐆	CJK_Ext_A	3.0	4	6		yǐn			GJT	J4-212D			96B1	隱	Definition*	hide, conceal; hidden, secret	IN ON	KAKURERU
341C	㐜	CJK_Ext_A	3.0	5	9		chóu			GKT				4EC7	仇	Definition*	enemy, hate, hatred, enmity	KYUU GU	ADA KATAKI
3421	㐡	CJK_Ext_A	3.0	5	11		nuò			GT				61E6	懦	Definition*	weak, timid, cowardly	DA JU ZEN	YOWAI
3427	㐧	CJK_Ext_A	3.0	6	4				127	J	JA-2125			7B2C	第	Definition*	sequence, number; grade, degree	DAI	TSUIDE YASHIKI TADA
342A	㐪	CJK_Ext_A	3.0	8	6					J	JA-2126								
342B	㐫	CJK_Ext_A	3.0	8	6		xiōng			GT				51F6	凶	Definition*	culprit; murder; bad, sad	KYOU	WARUI
342C	㐬	CJK_Ext_A	3.0	8	7		liú			GJT	JA4-2132			65D2	旒	Definition*	fringes of pearls on crowns	RYUU	HATAASHI
342D	㐭	CJK_Ext_A	3.0	8	8		lǐn			GJT	JA-2128			5EE9	廩	Definition*	granary; stockpile, store	RIN	KURA
342E	㐮	CJK_Ext_A	3.0	8	13		xiāng			GJT	JA4-2133			8944	襄	Definition*	aid, help, assist; undress	JOU SHOU	NOBORU AGERU TAKAI
342F	㐯	CJK_Ext_A	3.0	8	17		yōng			GJ	JA-212A			5EB8	庸	Definition*	usual, common, ordinary, mediocre	YOU	MOCHIIRU TSUNE ANI
3430	㐰	CJK_Ext_A	3.0	9	5		xìn			GJT	JA-212B			4FE1	信	Definition*	trust, believe; letter	SHIN	MAKOTO TAYORI MAKASERU
3431	㐱	CJK_Ext_A	3.0	9	5		zhěn			GTV				9B12	鬒	Definition*	black, glossy hair	SHIN	OOI
3434	㐴	CJK_Ext_A	3.0	9	5		pān			GT				6500	攀	Definition*	climb; pull; hang on to	HAN	YOJIRU
3436	㐶	CJK_Ext_A	3.0	9	5					JT	JA-212C								
3437	㐷	CJK_Ext_A	3.0	9	5		mǎ			G				508C	傌	Traditional*	to curse, to revile, to abuse; to scold	BA ME	NONOSHIRU
